グループ,関数名,役割
R,reducexy,Xの分布に基づくサブグループ統計でXYデータを削減
R,rowquantiles,ワークシート行のパーセンタイル（分位数）を計算
R,rowstats,データ行の記述統計（平均・標準偏差・最大・最小等）を計算
S,setdatafmt,ワークシート列のデータフォーマット（数値・テキスト・日付等）を設定
S,setvalue,ワークシート列に数式または定数値を一括設定（Set Column Values）
S,sign2 (Pro),対応2標本の符号検定（ノンパラメトリック検定）を実施
S,signtest (Pro),1標本の符号検定：中央値が指定値と等しいかを検定
S,smooth,隣接平均・Savitzky-Golay・FFTフィルタ等でXYデータのノイズを除去
S,sparklines,ワークシート列ヘッダーにサムネイルスパークライングラフを追加・更新
S,speedmode,グラフレイヤーのスピードモード（大量データ高速描画）プロパティを設定
S,splitcol,ワークシート列を区切り文字や固定幅で複数列に分割
S,stats,ワークシート列データの記述統計量（平均・標準偏差・最大/最小等）を計算
S,stft (Pro),短時間フーリエ変換（STFT）を実行し時間-周波数解析を行う
S,subtract_line,グラフ上の2点で構成した直線をデータプロットから減算
S,subtract_ref,別データセットを参照データとして差し引く
S,swtest,シャピロ・ウィルク法による正規性の検定を実施
S,sysInfo,Origin のシステム情報（バージョン・OS・メモリ等）を取得
T,text2cols,テキスト列を区切り文字で複数の列に分割（テキスト→列）
T,themeApply2g,指定したテーマファイルをグラフ（または複数グラフ）に適用
T,themeApply2w,指定したテーマファイルをワークシート（または複数ワークシート）に適用
T,themeEdit,テーマ編集ダイアログを開いて指定テーマファイルを編集
T,translate,グラフ上のデータカーブを水平・垂直方向に平行移動（トランスレート）
T,trimright,Y列の右端にある欠損値（Missing Value）を削除
T,ttest1,標本平均を仮説母集団平均と比較する1標本t検定
T,ttest2,2つの独立標本の平均を比較する2標本t検定
T,ttestpair,対応のある2標本の平均差を検定する対応t検定（ペアt検定）
T,twa (Pro),対応2元配置分散分析（Two-Way ANOVA with Repeated Measures）を実行
U,updateEmbedGraphs,ワークシートに埋め込まれたグラフオブジェクトを更新
U,updateSparklines,ワークシート列上部のスパークライン（サムネイルグラフ）を更新・追加
V,v2m,ベクトル（列データ）をマトリックスに変換
V,vap2c,振幅ベクトルと位相ベクトルを結合して複素数ベクトルを生成
V,vartest1 (Pro),標本分散が指定値と等しいかを検定する1標本分散検定
V,vartest2 (Pro),2標本の分散が等しいかを検定する2標本分散検定（F検定）
V,vc2ap,複素数ベクトルを振幅ベクトルと位相ベクトルに変換
V,vc2ri,複素数ベクトルを実部ベクトルと虚部ベクトルに分割
V,vfind,指定値と等しいベクトル要素を全て検索
V,vinc,ベクトルの平均増分（平均ステップ幅）を計算
V,vinc_check,ベクトルが均等増分かどうかを確認し、平均増分を返す
V,vri2c,実部ベクトルと虚部ベクトルを結合して複素数ベクトルを構築
V,vshift,ベクトルを指定した量だけシフト（移動）する
W,w2m,ワークシートデータを直接マトリックスに変換（X・Yマップ座標を最初の行/列またはヘッダーラベルで指定可能）
W,w2xyz,ワークシートデータをXYZ列形式に変換
W,wautofill,指定した入力範囲の値に基づいてワークシートセルを自動補完
W,wautosize,列の最大文字列長に合わせてワークシートの列幅を自動調整
W,wcellcolor,ワークシートセルの塗りつぶし色またはフォント色を設定
W,wcellformat,選択したワークシートセルの書式設定（数値形式・桁数など）
W,wcellmask,ワークシートセルの範囲をマスク・マスク解除
W,wcellsel,指定した条件でワークシートセルを選択
W,wclear,ワークシートデータをクリア
W,wcolwidth,指定した列範囲の列幅を設定
W,wcopy,指定したワークシートのコピーを作成
W,wdeldup,参照列の重複に基づいてワークシート行を削除または結合
W,wdelrows,ワークシートの行を削除
W,wexpand2m,行または列を展開してワークシートをマトリックスに変換
W,wkeepdup,1列の重複に基づいてワークシートの重複行を保持
W,wmergexy,X値を基準に2つのワークシートのXYデータをマージ（Xが一致しない場合は空行を挿入）
W,wmove_sheet,指定したワークシートを別のワークブックに移動
W,wmvsn,ワークシートの全列のショートネームをリセット
W,wpivot,ワークシートデータを集計するピボットテーブルを作成
W,wproperties,ワークシートプロパティをツリー形式で取得または設定
W,wrcopy,ワークシートセルの範囲を別の範囲にコピー
W,wreplace,ワークシートのセル値を検索・置換
W,wrow2label,ワークシートのデータ行をラベル行に昇格
W,wrowheight,ワークシートの行の高さを設定
W,wsort,選択した列を基準にワークシートを並べ替え
W,wsplit_book,ワークブックを複数のシングルシートワークブックに分割
W,wtranspose,アクティブなワークシートを転置
W,wtsmooth (Pro),ウェーブレットの詳細係数をカットオフして信号をスムージング
W,wunstackcol,グループ列を使用してデータをアンスタック
W,white_noise,データに白色（ガウス）ノイズを追加
W,wxt,条件を使用してワークシートデータを抽出
X,XYZ2Mat,XYZワークシートデータをマトリックスに変換（グリッディング）
X,XYZ2MatLog,X・Y値の対数を計算してからXYZ2Matと同様にグリッディングを実行
X,XYZGrid,XYZ等高線プロット/ワークシートXYZデータからグリッディングデータを作成
X,xyz_regular,等間隔XYデータ用のレギュラーグリッディング
X,xyz_renka,Renka-Clineグリッディング法（不規則XYデータ用）
X,xyz_renka_nag,NAG Renka-Clineグリッディング法
X,xyz_shep,修正Shepardグリッディング法（不規則XYデータ用）
X,xyz_shep_nag,NAG修正Shepardグリッディング法
X,xyz_sparse,スパースグリッディング
X,xyz_tps,薄板スプライン（Thin Plate Spline）補間によるグリッディング
